0.000100000000. 0.357853000000 0.356009000000 | 2.154000627042 2.292928744426 0.002767364167 0.000000000000 0.000000000000 -0.085987453302 -0.000429937267 -0.078539922272 -0.000392699611 0.000000000000 0.000006214090
0.000200000000. 0.352612000000 0.352420000000 | 2.153981686011 2.292940241408 0.002767390084 0.000000000000 0.000000000000 -0.085979958951 -0.000429899795 -0.078535919641 -0.000392679598 0.000000000000 0.000024853134
0.000300000000. 0.351526000000 0.351516000000 | 2.153959974701 2.292951720469 0.002767411294 0.000000000000 0.000000000000 -0.085972478416 -0.000429862392 -0.078531921115 -0.000392659606 0.000000000000 0.000055912358
0.000400000000. 0.350864000000 0.350862000000 | 2.153934727135 2.292963150663 0.002767426365 0.000000000000 0.000000000000 -0.085965042663 -0.000429825213 -0.078527926673 -0.000392639633 0.000000000000 0.000099387203
0.000500000000. 0.352897000000 0.352891000000 | 2.153910624081 2.292974571639 0.002767443298 0.000000000000 0.000000000000 -0.085957612065 -0.000429788060 -0.078523936296 -0.000392619681 0.000000000000 0.000155273021
0.000100000000. 0.358833000000 0.357075000000 | 2.154000627042 2.292928744426 0.002767364167 0.000000000000 0.000000000000 -0.085987453302 -0.000429937267 -0.078539922272 -0.000392699611 0.000000000000 0.000006214090
0.000200000000. 0.353896000000 0.353871000000 | 2.153981686011 2.292940241408 0.002767390084 0.000000000000 0.000000000000 -0.085979958951 -0.000429899795 -0.078535919641 -0.000392679598 0.000000000000 0.000024853134
0.000300000000. 0.353811000000 0.353808000000 | 2.153959974701 2.292951720469 0.002767411294 0.000000000000 0.000000000000 -0.085972478416 -0.000429862392 -0.078531921115 -0.000392659606 0.000000000000 0.000055912358
0.000400000000. 0.352759000000 0.352745000000 | 2.153934727135 2.292963150663 0.002767426365 0.000000000000 0.000000000000 -0.085965042663 -0.000429825213 -0.078527926673 -0.000392639633 0.000000000000 0.000099387203
0.000500000000. 0.354364000000 0.354335000000 | 2.153910624081 2.292974571639 0.002767443298 0.000000000000 0.000000000000 -0.085957612065 -0.000429788060 -0.078523936296 -0.000392619681 0.000000000000 0.000155273021
0.000600000000. 0.353711000000 0.353686000000 | 2.153884330133 2.292986011386 0.002767456674 0.000000000000 0.000000000000 -0.085950158620 -0.000429750793 -0.078519949994 -0.000392599750 0.000000000000 0.000223564697
0.000700000000. 0.361814000000 0.352556000000 | 2.153858054742 2.292997394126 0.002767469795 0.000000000000 0.000000000000 -0.085942758094 -0.000429713790 -0.078515967780 -0.000392579839 0.000000000000 0.000304257750
0.000800000000. 0.359503000000 0.359399000000 | 2.153833179306 2.293008745536 0.002767485093 0.000000000000 0.000000000000 -0.085935384807 -0.000429676924 -0.078511989656 -0.000392559948 0.000000000000 0.000397348230
0.000900000000. 0.351518000000 0.351429000000 | 2.153810286406 2.293020087061 0.002767503646 0.000000000000 0.000000000000 -0.085928017321 -0.000429640087 -0.078508015618 -0.000392540078 0.000000000000 0.000502831906
0.001000000000. 0.352123000000 0.352059000000 | 2.153789297300 2.293031385994 0.002767525159 0.000000000000 0.000000000000 -0.085920688346 -0.000429603442 -0.078504045661 -0.000392520228 0.000000000000 0.000620704814
0.001100000000. 0.351818000000 0.351765000000 | 2.153772151635 2.293042620114 0.002767552753 0.000000000000 0.000000000000 -0.085913420100 -0.000429567100 -0.078500079786 -0.000392500399 0.000000000000 0.000750963002
0.001200000000. 0.351692000000 0.351631000000 | 2.153757073206 2.293053829888 0.002767583671 0.000000000000 0.000000000000 -0.085906172121 -0.000429530861 -0.078496117991 -0.000392480590 0.000000000000 0.000893603338
0.001300000000. 0.352171000000 0.352071000000 | 2.153749319012 2.293065064236 0.002767626920 0.000000000000 0.000000000000 -0.085898895496 -0.000429494477 -0.078492160268 -0.000392460801 0.000000000000 0.001048624659
0.001400000000. 0.351626000000 0.351623000000 | 2.153742668767 2.293076236330 0.002767671696 0.000000000000 0.000000000000 -0.085891677065 -0.000429458385 -0.078488206605 -0.000392441033 0.000000000000 0.001216021527
0.001500000000. 0.352735000000 0.352545000000 | 2.153741023372 2.293087064385 0.002767723094 0.000000000000 0.000000000000 -0.085884798611 -0.000429423993 -0.078484257004 -0.000392421285 0.000000000000 0.001395790502
0.001600000000. 0.352166000000 0.352047000000 | 2.153742327880 2.293097721859 0.002767778556 0.000000000000 0.000000000000 -0.085878086678 -0.000429390433 -0.078480311463 -0.000392401557 0.000000000000 0.001587930000
0.001700000000. 0.351007000000 0.351004000000 | 2.153746648537 2.293108342075 0.002767838858 0.000000000000 0.000000000000 -0.085871407942 -0.000429357040 -0.078476369983 -0.000392381850 0.000000000000 0.001792432967
0.001800000000. 0.352197000000 0.352107000000 | 2.153754156368 2.293118931089 0.002767904316 0.000000000000 0.000000000000 -0.085864756342 -0.000429323782 -0.078472432569 -0.000392362163 0.000000000000 0.002009298805
0.001900000000. 0.351231000000 0.351175000000 | 2.153758029163 2.293129534934 0.002767963790 0.000000000000 0.000000000000 -0.085858085846 -0.000429290429 -0.078468499220 -0.000392342496 0.000000000000 0.002238519141
0.002000000000. 0.351578000000 0.351486000000 | 2.153759678826 2.293140119451 0.002768019462 0.000000000000 0.000000000000 -0.085851430600 -0.000429257153 -0.078464569949 -0.000392322850 0.000000000000 0.002480084313
0.002100000000. 0.352729000000 0.352711000000 | 2.153765811529 2.293150663009 0.002768082401 0.000000000000 0.000000000000 -0.085844812217 -0.000429224061 -0.078460644775 -0.000392303224 0.000000000000 0.002734000346
0.002200000000. 0.356746000000 0.356604000000 | 2.153772779222 2.293161190040 0.002768146649 0.000000000000 0.000000000000 -0.085838206254 -0.000429191031 -0.078456723706 -0.000392283619 0.000000000000 0.003000259263
0.002300000000. 0.379923000000 0.378252000000 | 2.153774805108 2.293171619590 0.002768202173 0.000000000000 0.000000000000 -0.085831693649 -0.000429158468 -0.078452806761 -0.000392264034 0.000000000000 0.003278846384
0.002400000000. 0.361492000000 0.360874000000 | 2.153775300893 2.293181999343 0.002768254898 0.000000000000 0.000000000000 -0.085825226697 -0.000429126133 -0.078448893960 -0.000392244470 0.000000000000 0.003569762343
0.002500000000. 0.355784000000 0.355702000000 | 2.153776325457 2.293192396207 0.002768308590 0.000000000000 0.000000000000 -0.085818738479 -0.000429093692 -0.078444985314 -0.000392224927 0.000000000000 0.003873011278
0.002600000000. 0.356033000000 0.355784000000 | 2.153779492500 2.293202801297 0.002768365894 0.000000000000 0.000000000000 -0.085812237880 -0.000429061189 -0.078441080823 -0.000392205404 0.000000000000 0.004188594315
0.002700000000. 0.353486000000 0.353364000000 | 2.153782669748 2.293213131343 0.002768422840 0.000000000000 0.000000000000 -0.085805808171 -0.000429029041 -0.078437180486 -0.000392185902 0.000000000000 0.004516504930
0.002800000000. 0.352406000000 0.352404000000 | 2.153787336638 2.293223430161 0.002768482112 0.000000000000 0.000000000000 -0.085799405520 -0.000428997028 -0.078433284319 -0.000392166422 0.000000000000 0.004856727650
0.002900000000. 0.354398000000 0.354273000000 | 2.153791591371 2.293233665357 0.002768540379 0.000000000000 0.000000000000 -0.085793062329 -0.000428965312 -0.078429392314 -0.000392146962 0.000000000000 0.005209293151
0.003000000000. 0.355063000000 0.354858000000 | 2.153796139266 2.293243475072 0.002768597007 0.000000000000 0.000000000000 -0.085787140481 -0.000428935702 -0.078425504447 -0.000392127522 0.000000000000 0.005574177724
0.003100000000. 0.357837000000 0.357497000000 | 2.153804053101 2.293253269403 0.002768659169 0.000000000000 0.000000000000 -0.085781229868 -0.000428906149 -0.078421620728 -0.000392108104 0.000000000000 0.005951374349
