11.884394981286 9.295498375719 0.848271379924 1.007004648599 0.731722574700 -0.146580316861 | 0.396260096516 0.153368134631 0.905238173736 -1.377908136834 5.572246782678 2.114293207548
-3.477791780164 0.599750211148 -10.746322807095 0.575196958741 -0.587676364285 -0.513945127211 | -0.002054854904 0.066001594794 0.997817401660 -0.866257992939 0.039552841416 1.490790569432
9.024326872217 11.071321296179 -2.008830753254 -1.790759140413 -1.027788861000 -1.459035201438 | 0.059385701117 0.220633973336 0.973547116637 -2.911473555154 0.768458168089 -0.387274315803
5.122053528011 -10.449461979371 -1.784049396124 -0.309633250981 -0.178547231076 -0.719260557946 | 0.130277780138 0.057826744505 0.989789759304 -0.436563224110 1.669828273864 2.318865391024
-12.826060495645 9.683090503387 0.327073539031 -0.277117393552 -0.518917000114 0.866594770733 | 0.021752301246 0.460665975756 0.887306990940 -6.229599517919 1.004382678855 1.776033199805
13.521114998888 -6.219100275713 -2.356234601084 -0.079084685768 -0.014127954779 1.650991342591 | 0.016549302910 -0.122481881137 0.992332761409 1.585513874375 0.235824891032 0.124219151587
7.332368843672 -6.391429737742 -1.272529396931 1.568498551663 0.663112675517 -0.214839993409 | 0.132181687403 -0.140227544061 0.981256458527 1.370899817698 2.192274092869 -4.655944524716
-2.733667035452 6.547787707140 3.619998396527 -0.152527447980 -1.936220817511 -0.698343595276 | 0.060979017591 -0.024139122886 0.997847113620 0.248435142175 0.827353327152 -0.988581123184
13.187454242095 -10.587093601006 7.349448525941 0.301413496210 1.058926462788 -1.293124353089 | 0.157972544156 -0.094612797342 0.982900347885 1.066879854757 2.229370778169 -1.078538100549
1.590169163511 -3.642693785045 -8.880656553257 1.202930703337 0.507840813058 0.697360637733 | 0.109344079582 -0.192980559232 0.975090957818 2.424598267795 1.698472146795 -1.662529290908
-3.929312619052 4.480795362348 4.018316303413 0.419319112444 -0.623663118371 1.256370921485 | 0.060924871999 -0.168999996435 0.983731244384 2.406618329284 0.298770025821 3.931611000232
-8.036974888489 7.565516017587 -3.094755329528 1.769475224175 -0.519410987177 1.114727733433 | 0.050142188587 0.219915316465 0.974229446541 -2.986298623184 0.522524115185 -0.953146818034
3.074707854351 -1.696763899694 -9.320392175881 -0.041875600387 1.365712955558 1.765917783834 | 0.170517004196 -0.023292097863 0.985079402615 -0.257740514253 2.333744811406 -4.333531278977
13.036228309090 3.876273194665 -7.773499815842 0.542085367544 -0.375363391326 1.140427424022 | 0.174877854446 -0.103962210928 0.979086101792 1.789357638935 2.038214379526 3.250902401522
-1.169988662285 8.593479354357 7.320735097650 0.380728258122 1.485345637569 -0.957647333893 | 0.037967682504 -0.122688140589 0.991718748055 1.467390409344 0.374096030681 -4.348440752710
-8.320125101601 6.889133010668 3.524504574132 -0.157143162128 -0.139739772761 -0.089986905989 | 0.262346669390 -0.163117387307 0.951087242590 2.428983555443 3.286893487997 1.274831321317
3.469780156266 -10.179868898371 -3.940947305146 1.321510899577 -0.689408041982 -1.124451729612 | 0.149363708964 0.173151052062 0.973503567335 -2.000250377312 2.193193022527 2.103684129080
0.911327033718 9.573552908467 -8.548674146234 0.225834204832 -1.379211798231 0.037777178010 | 0.020773267245 -0.025859058146 0.999449738846 0.374689379133 0.176565095567 4.365161197598
2.318956761254 -10.746371528138 -0.918267018175 -0.451580848574 1.124165935018 0.827744249320 | 0.083847196556 -0.041491752490 0.995614424416 0.226748339221 1.335413438648 -4.703362762400
10.890219989019 0.707852598878 -1.565914869349 1.095600397283 0.870710661144 1.369900862800 | -0.100783819664 0.175446785194 0.979316622579 -2.450189582065 -1.069141775622 1.933895804792
-4.481825469649 -12.227953471747 -12.342897847207 -1.529228622420 -1.121518820305 0.072811991224 | -0.230901512543 -0.015518239435 0.972853368062 0.499222553060 -3.013965412760 -1.794529092489
12.840649501076 -10.805116649296 2.173050473611 0.429677315846 -1.390070972304 0.674100739183 | -0.171568160044 -0.169440360940 0.970491798288 1.990464113255 -2.339102175136 1.339674801005
7.410829101937 -5.633051141857 3.706434167252 0.525994531039 0.162426264462 -0.972321035419 | 0.036872978787 -0.021401536188 0.999090765488 0.399799513524 0.375632115245 3.119899911846
-1.257666596219 11.763900056432 -2.945446585587 -0.356058874207 1.466653714681 -0.702918367686 | 0.009910394419 0.006966577413 0.999926622749 -0.087860843557 0.182431886871 0.686338828983
11.128584937271 -2.346881389892 -8.719154610627 0.482168821288 2.148112896975 -1.496019203336 | 0.088505161008 0.099946014300 0.991048752938 -1.429325989359 1.015800656008 -1.760922945514
-0.056752254815 -1.750898764996 8.803183121416 -0.019725539877 -0.057990961535 0.080373642277 | -0.020179516139 -0.004658666558 0.999785518976 0.129892841170 -0.506730645759 -0.714652851098
-1.707263485997 -10.848491780229 6.230617521364 0.019888277460 0.013381989887 0.002562482402 | -0.000525040586 0.000700211214 0.999999617018 -0.017994591725 -0.013247660867 -0.213685313973
-12.122114858804 -0.983919078216 3.921410971492 -2.054499257604 -2.045828477161 0.020142441837 | -0.077042356940 0.069489694974 0.994603266398 -0.887026653803 -0.951020962655 -0.083167308567
-0.866400021157 7.303790667995 8.063574292816 1.578290220215 -0.107237930409 0.159024584393 | 0.170947671319 -0.326335356178 0.929667751930 4.171927080083 2.462935911921 -1.836312395200
-10.366804876274 8.209890350928 -2.965263737971 -0.528726583084 -1.016662419031 -0.031740784309 | -0.028367723891 -0.190398123943 0.981297012449 2.541700777973 -0.299529301021 0.576518519316
4.245745095439 9.574230434583 4.745822707994 -1.335777439253 1.143173219767 -0.077888122212 | -0.056892217620 0.202906661319 0.977543943957 -2.564182621305 -0.756980686286 -2.193175231684
-10.949352484905 -1.176065795271 0.247807950817 -0.902753646391 -1.188454219795 -0.004927141577 | 0.033195284171 0.084543108025 0.995866726020 -1.096160879704 0.464681331414 0.009077242967
6.024192745548 -3.570509422207 9.819848737342 0.176493571482 -1.453246403795 0.003322631098 | 0.116998569370 0.075601716274 0.990250329594 -0.991885873655 1.537270993803 -0.028289333124
-3.207620339761 0.181092734803 0.969454478169 0.036628908734 -0.648209598457 -0.001633122638 | 0.138308461927 0.176369992301 0.974558564261 -2.317682591548 1.806254923371 0.024755332009
10.071976995440 0.357939012447 5.734423544179 0.234595115447 0.498192882418 0.072681369996 | -0.070687072152 0.087515398306 0.993652048199 -1.080785225406 -1.033152463384 -0.405917222251
-12.310301711258 -4.911570271547 5.787754719755 -0.180590490625 -0.568405927066 0.003231406313 | -0.123470626284 0.106953218337 0.986567794697 -1.398547383946 -1.627133184099 -0.012169731198
-1.166039499036 5.472546996501 -0.524775621894 0.331628621463 -1.120758265266 -0.035707738533 | -0.154153317569 -0.202130570699 0.967150446968 2.778964465733 -1.931586910652 -0.684880194747
-12.348981599585 -11.857954377803 -11.755232203177 -0.999081375530 -1.314247907890 -0.026390072681 | -0.063522759236 -0.224724115255 0.972349695882 2.983250548523 -0.784162248733 0.059958608432
