21.5443 21.5443 21.5443
13.128990362626 27.197771881739 -14.764289204292 0.564354642912 0.234575489568 0.513408648064 0.110805662651 -0.744131358278 -0.658779649619 -0.914488815988 -0.335886733562 0.225588802137 -0.389143046394 0.577450105070 -0.717717956859 0.067890019682 0.167176579061 -0.030871790626  | 0.069000000000 13.128990362626 27.197771881739 -14.764289204292 -0.389143046394 0.577450105070 -0.717717956859 4.000000000000 . 21
0.128418544067 2.010802390768 13.096785268496 0.147899618916 -0.011834904486 -0.272408867057 0.644256432312 0.704166163376 0.298468865680 0.714450297694 -0.693383217502 0.093704246497 0.272936662158 0.152871606397 -0.949808322983 0.340525220619 0.022320236893 0.038737330009  | 0.069000000000 0.128418544067 2.010802390768 13.096785268496 0.272936662158 0.152871606397 -0.949808322983 4.000000000000 . 6
-4.872618521227 23.476083315992 22.504041275766 -0.722314599144 -0.342166898579 0.059531333965 -0.658208314528 0.721644968896 0.214453616320 0.284059391956 -0.025740079323 0.958461115621 0.697188695066 0.691784639309 -0.188047696846 -0.058809855869 0.134599227051 0.178879687853  | 0.069000000000 -4.872618521227 23.476083315992 22.504041275766 0.697188695066 0.691784639309 -0.188047696846 4.000000000000 . 12
15.560186122776 17.081401696397 10.013654179832 -0.514190224354 -0.288643065246 0.800292183034 0.300936058721 -0.923377163540 0.238352894704 -0.758116217922 -0.383267458765 -0.527603880933 0.578530283291 -0.021924162570 -0.815366201416 -0.180282841275 -0.227260935779 -0.245122915101  | 0.069000000000 15.560186122776 17.081401696397 10.013654179832 0.578530283291 -0.021924162570 -0.815366201416 4.000000000000 . 17
-36.584410231398 6.194061336490 -3.672461631914 -0.857793148844 -0.369419570171 -0.033285579340 0.276755912872 0.948494594398 0.154156313809 -0.895195700073 0.312800044900 -0.317459903738 -0.349329104515 -0.050141163801 0.935657544421 -0.006400307111 0.141140915715 0.097365649779  | 0.069000000000 -36.584410231398 6.194061336490 -3.672461631914 -0.349329104515 -0.050141163801 0.935657544421 4.000000000000 . 53
-8.143757646008 7.491570561839 24.088919649131 -0.499646443492 -0.738221943941 -0.412191484667 -0.070208280489 0.601496717043 -0.795784202367 0.246785796822 0.783427537656 0.570384136989 0.966523444019 -0.156342549004 -0.203443946908 0.019570558856 -0.535293705732 0.451906331812  | 0.069000000000 -8.143757646008 7.491570561839 24.088919649131 0.966523444019 -0.156342549004 -0.203443946908 4.000000000000 . 40
-14.685151254780 -13.916042640190 7.333329830672 -0.176969464748 -0.375274173978 -0.249018193932 -0.775321913563 0.259047708054 -0.575994978538 0.076447528010 -0.866810958150 -0.492741857662 -0.626922408126 -0.426066952231 0.652253973853 -0.090314158525 0.124624804699 0.291332844178  | 0.069000000000 -14.685151254780 -13.916042640190 7.333329830672 -0.626922408126 -0.426066952231 0.652253973853 4.000000000000 . 38
5.293448973471 16.110020110751 -16.500312123533 -1.087963214954 0.100330082648 -0.902105003874 -0.813194490812 -0.537256455730 0.223763761342 0.227769682454 -0.647602384971 -0.727139685848 0.535570435955 -0.540339385716 0.648997424013 0.067547916398 0.054028854827 0.086223947093  | 0.069000000000 5.293448973471 16.110020110751 -16.500312123533 0.535570435955 -0.540339385716 0.648997424013 4.000000000000 . 30
-32.778195388093 -33.717452902330 25.755598833219 -0.446038614174 -1.029149399512 -0.237404397972 -0.517110501445 -0.060806890987 0.853755967067 0.584384518281 0.703716851541 0.404075893429 -0.625373059932 0.707873657417 -0.328364768278 0.026467894570 -0.069298907348 -0.327466779300  | 0.069000000000 -32.778195388093 -33.717452902330 25.755598833219 -0.625373059932 0.707873657417 -0.328364768278 4.000000000000 . 64
19.436960711273 -28.168789016158 4.250897494193 0.312194062026 -0.909588766836 0.883667384180 -0.077237136995 0.033784303364 0.996440186622 -0.358262649657 -0.933612761059 0.003884102071 0.930420495545 -0.356687304560 0.084213230766 0.224399999389 0.378153699298 0.125360531756  | 0.069000000000 19.436960711273 -28.168789016158 4.250897494193 0.930420495545 -0.356687304560 0.084213230766 4.000000000000 . 45
-19.631459689449 2.634738555570 10.669635717901 -0.603915486583 -0.880444540907 0.660297665301 0.154930221850 0.494228277693 -0.855415124888 -0.095327810851 0.869308565609 0.484989923852 0.983315429980 0.006405254727 0.181795868699 0.099745440053 -0.456188911531 0.240775366834  | 0.069000000000 -19.631459689449 2.634738555570 10.669635717901 0.983315429980 0.006405254727 0.181795868699 4.000000000000 . 66
-5.554757599764 1.741223279672 23.048504761650 -0.328065326286 0.928835406167 0.175768855920 -0.613525081454 -0.542117990164 -0.574190786384 -0.534822797632 0.820228542983 -0.202952488058 0.580991867035 0.182573880981 -0.793167843790 -0.043125320460 -0.133167962372 -0.073527174087  | 0.069000000000 -5.554757599764 1.741223279672 23.048504761650 0.580991867035 0.182573880981 -0.793167843790 4.000000000000 . 12
0.069554287099 -11.957771811657 1.829120983837 0.134053828626 -0.334264159438 -0.331571210969 0.399034053646 0.082507665791 0.913216463450 -0.210070125277 0.977680201405 0.003459226215 -0.892548243232 -0.193219845941 0.407460089625 -0.162249833269 -0.045837282994 0.100730674843  | 0.069000000000 0.069554287099 -11.957771811657 1.829120983837 -0.892548243232 -0.193219845941 0.407460089625 4.000000000000 . 24
4.448213123895 10.388275134921 -33.768988667611 0.576696745346 0.501092086411 -0.678655895071 -0.876826769911 -0.247070213013 -0.412469544826 0.035809033733 0.821930509218 -0.568461037468 0.479471092633 -0.513211991148 -0.711843327897 -0.038862361224 0.091650752693 -0.271718434630  | 0.069000000000 4.448213123895 10.388275134921 -33.768988667611 0.479471092633 -0.513211991148 -0.711843327897 4.000000000000 . 5
-13.799168888236 -26.173708010863 3.282355507573 -0.114881506040 -0.541462800027 -0.390027196179 -0.549343723507 0.790499295779 0.270799440207 -0.751869146633 -0.326224714706 -0.572948707875 -0.364574079969 -0.518351520580 0.773561530408 -0.052038576802 0.090164492332 0.139910239893  | 0.069000000000 -13.799168888236 -26.173708010863 3.282355507573 -0.364574079969 -0.518351520580 0.773561530408 4.000000000000 . 57
0.344496040286 25.815751425874 0.165816241728 0.222594186677 0.643782058726 -0.133652966544 0.979035587963 -0.039672893629 0.199788335530 -0.201280888610 -0.338819818334 0.919068623436 0.031230135814 -0.940014463833 -0.339702055339 -0.167763136188 0.044774916922 -0.309922706300  | 0.069000000000 0.344496040286 25.815751425874 0.165816241728 0.031230135814 -0.940014463833 -0.339702055339 4.000000000000 . 56
-6.569104571169 -14.763376753189 23.121912079272 -0.595228287417 0.082668989124 0.151190302002 -0.725405881596 -0.624210153555 -0.290082731552 0.416136993864 -0.062013683748 -0.907184824259 0.548284879678 -0.778791363092 0.304742027770 0.070562050892 0.082219244128 0.367322452127  | 0.069000000000 -6.569104571169 -14.763376753189 23.121912079272 0.548284879678 -0.778791363092 0.304742027770 4.000000000000 . 11
-2.134878739969 -6.947314480938 17.191905631178 -0.451716993428 0.296746207968 0.550770101745 -0.622258495239 -0.353877499927 0.698258605495 0.782572655365 -0.259163761359 0.566051396848 -0.019349526546 0.898668381464 0.438201706956 0.360346155045 0.446338936423 -0.468660365842  | 0.069000000000 -2.134878739969 -6.947314480938 17.191905631178 -0.019349526546 0.898668381464 0.438201706956 4.000000000000 . 58
10.344337723477 -19.371967812172 -34.875452108156 0.238448537726 -0.221552865102 -1.222833645058 -0.897462378786 0.441090575677 -0.000618637833 0.422701192408 0.859644085242 -0.286942064964 -0.126035632267 -0.257781207146 -0.957947737949 -0.168707667389 0.439504642586 0.100348420205  | 0.069000000000 10.344337723477 -19.371967812172 -34.875452108156 -0.126035632267 -0.257781207146 -0.957947737949 4.000000000000 . 10
-15.831156346814 -6.775232258796 -25.957061350188 0.117261859259 0.759994962305 -0.803000727256 0.522186477328 0.005045234644 -0.852816409612 -0.256600254356 -0.952715710677 -0.162754674568 -0.813312727283 0.303821197807 -0.496200652361 -0.004192981148 0.323285526894 0.046459425106  | 0.069000000000 -15.831156346814 -6.775232258796 -25.957061350188 -0.813312727283 0.303821197807 -0.496200652361 4.000000000000 . 15
-21.410766200797 2.193021237330 -9.402492279452 0.251353377305 0.096786615966 -0.436770912119 0.355533289558 0.785573302112 0.506429330731 0.933841102552 -0.321284634481 -0.157216344031 0.039202999888 0.528820168540 -0.847828021562 0.217296013346 -0.270628622268 -0.115501672576  | 0.069000000000 -21.410766200797 2.193021237330 -9.402492279452 0.039202999888 0.528820168540 -0.847828021562 4.000000000000 . 6
-2.449033834363 -1.183581114296 -22.454211903957 -0.394556959945 1.199324675945 -1.209954025663 -0.708819930994 0.702818476775 -0.060170542038 -0.510782473442 -0.570226292301 -0.643384209002 -0.486493134844 -0.425309492337 0.763175121108 0.217404165530 -0.594642702433 -0.101024911336  | 0.069000000000 -2.449033834363 -1.183581114296 -22.454211903957 -0.486493134844 -0.425309492337 0.763175121108 4.000000000000 . 47
-26.199055574878 18.371325954861 -19.331586946270 -0.223773956096 -0.359530845647 0.125859663722 -0.646576914333 0.078310965891 -0.758818612365 -0.689477351974 -0.485644913236 0.537373240274 -0.326434181674 0.870641379024 0.368000426855 0.311996244075 0.278231695296 -0.037681617948  | 0.069000000000 -26.199055574878 18.371325954861 -19.331586946270 -0.326434181674 0.870641379024 0.368000426855 4.000000000000 . 43
-4.789364157266 13.401100049804 11.879687228634 -0.292634526099 0.039695408702 -0.199862430310 0.610071424197 -0.148177226552 -0.778367758139 0.021325932235 -0.978931285967 0.203073242870 -0.792059380345 -0.140488600558 -0.594057986328 0.211562322129 -0.055716987324 -0.296302839824  | 0.069000000000 -4.789364157266 13.401100049804 11.879687228634 -0.792059380345 -0.140488600558 -0.594057986328 4.000000000000 . 13
-19.515243159071 18.013458531633 2.585321707022 -0.288954825519 -0.701179732291 0.172725360783 -0.168486020393 -0.705730741221 0.688154475266 0.393091966420 0.592111827305 0.703478706075 -0.903930952489 0.389034323500 0.177654519419 -0.063514311013 -0.187205687805 -0.354093985573  | 0.069000000000 -19.515243159071 18.013458531633 2.585321707022 -0.903930952489 0.389034323500 0.177654519419 4.000000000000 . 18
