0.000500000000. 0.002937000000 0.005000000000 | 2.816819212611 -0.076513836730 0.008790293052 0.000689005917 0.000172924103 -0.077202842647 -0.000772028426 0.000000000000 0.000000000000 0.000000000000 0.000322480294
0.005500000000. 0.003932000000 0.013000000000 | 2.827986830543 -0.087691225118 0.008951846950 0.003308078349 0.000435217217 -0.090999303467 -0.000909993035 0.000000000000 0.000000000000 0.000000000000 0.039399169437
0.010500000000. 0.002798000000 0.011000000000 | 2.855398940836 -0.115079520835 0.009235343387 0.011359547562 0.000981737602 -0.126439068397 -0.001264390684 0.000000000000 0.000000000000 0.000000000000 0.145152803782
0.015500000000. 0.002728000000 0.010000000000 | 2.895937995087 -0.155713911514 0.009911269791 0.032477823584 0.002140060492 -0.188191735098 -0.001881917351 0.000000000000 0.000000000000 0.000000000000 0.315594132452
0.020500000000. 0.002881000000 0.010000000000 | 2.941691241127 -0.201431597302 0.010897012899 0.065152498326 0.003757216384 -0.266584095629 -0.002665840956 0.000000000000 0.000000000000 0.000000000000 0.530841579037
0.025500000000. 0.002774000000 0.010000000000 | 2.997920498470 -0.257631299466 0.010544197019 0.065527019444 0.003782711880 -0.323158318909 -0.003231583189 0.000000000000 0.000000000000 0.000000000000 0.746050342659
0.030500000000. 0.002726000000 0.011000000000 | 3.045453749378 -0.305201865935 0.009075969748 0.035632227789 0.002332798187 -0.340834093724 -0.003408340937 0.000000000000 0.000000000000 0.000000000000 0.933686160858
0.035500000000. 0.003145000000 0.011000000000 | 3.067554368379 -0.327297723170 0.008182431314 0.017466444656 0.001404891764 -0.344764167826 -0.003447641678 0.000000000000 0.000000000000 0.000000000000 1.101244564800
0.040500000000. 0.002762000000 0.010000000000 | 3.073696291534 -0.333395531665 0.007989947445 0.013814272136 0.001216391178 -0.347209803801 -0.003472098038 0.000000000000 0.000000000000 0.000000000000 1.243038593366
0.045500000000. 0.003009000000 0.011000000000 | 3.057961791358 -0.317725104671 0.008491673353 0.022988862389 0.001705607052 -0.340713967060 -0.003407139671 0.000000000000 0.000000000000 0.000000000000 1.328880226332
0.050500000000. 0.002724000000 0.010000000000 | 3.005931765271 -0.265805776513 0.009738764919 0.045586600342 0.002832916137 -0.311392376855 -0.003113923769 0.000000000000 0.000000000000 0.000000000000 1.346408425303
0.055500000000. 0.002795000000 0.010000000000 | 2.947879445605 -0.207634453174 0.010378275660 0.052431205440 0.003152667427 -0.260065658614 -0.002600656586 0.000000000000 0.000000000000 0.000000000000 1.353980339805
0.060500000000. 0.002855000000 0.011000000000 | 2.934688151258 -0.194572266974 0.009384347675 0.025769295113 0.001805469458 -0.220341562087 -0.002203415621 0.000000000000 0.000000000000 0.000000000000 1.453726099079
0.065500000000. 0.003011000000 0.011000000000 | 2.946775138740 -0.206763284135 0.008424317244 0.007059814750 0.000739964437 -0.213823098884 -0.002138230989 0.000000000000 0.000000000000 0.000000000000 1.687150364970
0.070500000000. 0.002785000000 0.010000000000 | 2.972211104905 -0.232221545855 0.007920511711 0.002613799441 0.000361494815 -0.234835345296 -0.002348353453 0.000000000000 0.000000000000 0.000000000000 2.035959994999
0.075500000000. 0.002814000000 0.010000000000 | 3.011577791948 -0.271417606398 0.007684078515 0.003785360351 0.000397515543 -0.275202966749 -0.002752029667 0.000000000000 0.000000000000 0.000000000000 2.466306164389
0.080500000000. 0.002786000000 0.011000000000 | 3.063988162683 -0.323904624964 0.007502610918 0.006699066420 0.000595353956 -0.330603691384 -0.003306036914 0.000000000000 0.000000000000 0.000000000000 2.934323860587
0.085500000000. 0.002936000000 0.010000000000 | 3.123109565607 -0.382965041926 0.007413488404 0.012720873511 0.000959982340 -0.395685915437 -0.003956859154 0.000000000000 0.000000000000 0.000000000000 3.372939060489
