-73.827564806145 -12.103381948066 -6.027389188345 -13.368752387687 -2.487103157880 -4.475372663023 | 0.939316198902 -0.069401897662 -0.335959008037 9.337775704724 -19.804973955155 7.796647943163
12.779620468927 -22.964327216684 16.501677777047 -4.659621727501 -7.417122977895 7.543152519134 | 0.466104190483 0.682078564115 -0.563485328993 1.491257930219 5.049596281008 -1.237279896026
2.565809492941 20.222216779525 -11.461345221653 1.318932102709 6.042063495395 -2.339320702298 | -0.059274198580 0.617295920880 -0.784494942908 -33.946403870240 10.014527247447 8.524684710684
40.827416984289 6.916338362899 -10.420139379705 -2.994752511217 -2.156529526477 4.109776604176 | 0.547810276582 -0.224313093929 0.805969935396 17.364053207263 -7.771221158162 -3.788165569263
1.187000459763 45.993064036973 17.837413449580 9.662676600419 -10.904991341341 -7.521806586361 | 0.802898945390 -0.527944754704 0.276816942169 -5.329993798845 -21.997468001428 -1.104827401079
49.898038261139 -47.046413446703 18.524931898385 0.285336148341 8.171261023780 7.738339354225 | -0.914580651004 -0.353658859473 -0.196131700461 -2.712550072969 5.734743906354 -2.149489933466
-28.693799798523 -95.682336580276 -15.539518318868 0.430749876863 0.780153173025 12.151027895742 | 0.701352307145 0.706716483329 -0.093041675897 26.536802998633 -7.427264285490 -25.882630697884
32.137846945795 19.063717054851 -48.127619841701 14.132836023005 -14.566723059165 6.293154661798 | 0.902102020030 0.318312961718 -0.291356832525 14.676864335289 -16.203125665205 10.131120313030
-37.255160826484 15.768666567588 -7.532507235224 -5.241828814520 4.182790354666 -5.031214625602 | -0.235060313054 -0.489837013764 -0.839527455878 15.384515917061 13.471728942753 -16.246907377424
-7.836062932256 11.565019735494 -36.971757920643 -11.411106768658 -6.724060471264 5.710220659802 | 0.729972651706 0.676231374453 -0.099252485950 -10.688376591456 24.772810404892 20.913086798155
56.137930394141 37.152772531990 19.155397723521 11.880623792458 4.154796589054 -5.896330798193 | 0.850960493521 0.081126046347 0.518926587362 21.064489986513 20.840868250459 -16.341327506925
-7.948859019966 -10.553207091599 28.372152641478 -10.505203293245 6.457688179381 -3.299419526789 | -0.071754098603 0.275930539767 -0.958495532883 -0.735596531648 -5.294867729008 -2.233146428789
-18.441459663774 0.033070581472 30.772341615583 -10.321059830775 -7.858759606808 9.601816623744 | 0.123243829348 0.866117951574 0.484407527284 18.524205942706 8.531798791701 12.796299374570
29.681776051315 42.636225803669 -79.094586168303 -3.418538889153 4.227019180217 -10.563147741864 | 0.607186610209 0.546599887298 0.576674070501 6.932290895429 2.146369442553 8.723700750440
-22.467639997128 7.271947887571 -11.035647943408 5.120852210824 -19.413927701110 -4.093109299472 | 0.290872459464 -0.156921439160 0.943805527774 1.542869846387 21.735315938945 10.087927355277
-32.721681134891 -8.058862269670 -5.432462462777 9.352558839153 0.183711676678 -1.417051571433 | -0.626486638451 -0.018593041395 0.779210363544 -3.700089724931 -2.979676924856 3.007863790659
15.325371944497 8.713585119267 50.988690621952 6.169973815000 -12.165971198850 -6.869235459647 | 0.020730681736 0.515870146403 -0.856415921667 -12.660629679925 8.004192551304 -3.722895742233
-11.347119990756 -53.423256247333 36.031472605992 5.435807087517 4.735909508848 4.212559357220 | 0.376312999323 -0.751555204256 0.541805593822 -8.400703649328 -15.579949711445 12.627307925551
-8.938250448668 -8.743408124997 32.310531081586 -7.718653717038 4.000939083458 -6.661420313715 | -0.228404057286 0.960558352960 0.158616635869 12.642560696869 -11.937124199457 -6.135513363623
-6.256792203754 -13.755855152838 28.710164819098 5.339070333330 0.298432780302 7.255522304619 | 0.246980579736 -0.733314201181 0.633443664093 26.786958230319 1.833971428973 1.781813554219
-24.805258739255 -14.725420892090 51.908647331783 -11.837136695752 -12.404867806861 -21.637084173823 | -0.442034695920 0.204390543424 0.873401301443 9.486575138638 12.801957850799 -1.615215413375
-3.413039081205 -18.112140103593 -12.354244591645 4.380184821282 2.901418821812 13.901797073352 | 0.703842533553 -0.709791724241 0.028308941345 19.187609190463 11.061640209507 2.117613081805
5.333664666109 -94.057484006188 0.017315814291 5.227837792385 5.232336371156 -2.341496741419 | 0.856577893510 -0.421538838337 -0.297622781593 -3.782941903512 -39.044311317546 9.653967363509
-7.521567021090 16.426725583999 22.893702101392 -5.750140231884 -5.727492550135 -6.486089994178 | -0.266424690702 0.947896475310 0.174671566887 -28.785077187445 0.504591234970 -38.973383955440
-33.068136463344 12.450731268300 4.964761818764 -7.576169707798 -3.647742153910 5.066351837241 | 0.796177116762 0.542031119568 0.268894522377 6.361555645007 -3.823735239800 -34.860306896686
0.010000000000
