72.7236 72.7236 72.7236
30.229652367593 -31.949123397348 22.716558398124 -0.871254696887 0.699891957811 -0.125612331636 0.999942849105 -0.010420485490 -0.002389980417 0.010418105432 0.999945223875 -0.001006145817 0.002400334031 0.000981189247 0.999996637826 -0.772682424381 1.890069429838 -0.130575638909  | 1.000000000000 30.229652367593 -31.949123397348 22.716558398124 0.002400334031 0.000981189247 0.999996637826 4.481000000000 . 146
-12.589380048225 -28.029033640036 29.603705123009 -0.565175485314 0.568317670720 -0.494613128741 0.999929924816 -0.010886587020 -0.004650556984 0.010873084130 0.999936625783 -0.002918982425 0.004682040014 0.002868211979 0.999984925817 -2.258778742202 3.686410777653 -0.136347691671  | 1.000000000000 -12.589380048225 -28.029033640036 29.603705123009 0.004682040014 0.002868211979 0.999984925817 4.481000000000 . 321
19.631120095425 -33.100443841641 -3.421723330711 -1.624986894899 0.955983909120 1.384284996744 0.999974863462 -0.005887330956 -0.003951174249 0.005879352774 0.999980660474 -0.002027779516 0.003963036044 0.002004498198 0.999990138118 -1.578473265160 3.120834333410 -0.073730689773  | 1.000000000000 19.631120095425 -33.100443841641 -3.421723330711 0.003963036044 0.002004498198 0.999990138118 4.481000000000 . 472
-28.611076547078 -35.161708951106 -8.235125453730 -0.259809178147 0.185024857212 0.682287033304 0.999961271007 -0.008376543045 -0.002700002335 0.008359286790 0.999944959643 -0.006340347687 0.002752963921 0.006317532038 0.999976254707 -4.975394800450 2.167573090019 -0.104866840027  | 1.000000000000 -28.611076547078 -35.161708951106 -8.235125453730 0.002752963921 0.006317532038 0.999976254707 4.481000000000 . 187
-19.824803968327 35.484394644577 25.020626679461 -0.175049441047 0.483425247463 0.834812603364 0.999695610729 -0.024624694462 -0.001519970805 0.024635407309 0.999668477027 0.007485502297 0.001335138693 -0.007520668890 0.999970828047 5.918779304928 1.048710765552 -0.308719537921  | 1.000000000000 -19.824803968327 35.484394644577 25.020626679461 0.001335138693 -0.007520668890 0.999970828047 4.481000000000 . 358
-10.139988356508 -32.729103807987 23.528884654918 -0.211242345977 0.030320458285 1.620252324198 0.998960865539 -0.044815346067 -0.008293001744 0.044794634708 0.998992657448 -0.002666658323 0.008404155066 0.002292405322 0.999962056808 -1.807268828480 6.617039479673 -0.561688669481  | 1.000000000000 -10.139988356508 -32.729103807987 23.528884654918 0.008404155066 0.002292405322 0.999962056808 4.481000000000 . 436
-9.871291332235 -30.972857522615 4.431722117987 -1.439467560704 0.621590557625 -0.237144207784 0.999919600137 -0.012285349977 -0.003140611194 0.012279246280 0.999922695224 -0.001955425049 0.003164391491 0.001916703495 0.999993156414 -1.509283483642 2.491193440417 -0.153923988250  | 1.000000000000 -9.871291332235 -30.972857522615 4.431722117987 0.003164391491 0.001916703495 0.999993156414 4.481000000000 . 406
-4.914701899775 -33.440031967713 -27.318892940929 -0.143666645093 1.801678683079 -0.675930339730 0.999953524042 -0.009494010463 -0.001677355333 0.009490624263 0.999952932143 -0.002015328655 0.001696409935 0.001999315841 0.999996562459 -1.574381026006 1.335397883735 -0.118957557919  | 1.000000000000 -4.914701899775 -33.440031967713 -27.318892940929 0.001696409935 0.001999315841 0.999996562459 4.481000000000 . 462
17.947788510940 -30.805626178590 -34.543073182505 -0.530232218462 0.971786672597 -1.633104642499 0.999729847551 -0.023222723543 -0.000968001341 0.023218330453 0.999721057616 -0.004326209707 0.001068197696 0.004302565596 0.999990173393 -3.388007076921 0.840002167625 -0.291021155688  | 1.000000000000 17.947788510940 -30.805626178590 -34.543073182505 0.001068197696 0.004302565596 0.999990173393 4.481000000000 . 17
31.897686446952 15.364162535137 -35.088681560659 -1.182247564229 0.436394069678 0.670002299924 0.999569953704 -0.029302827922 -0.001118895750 0.029297201165 0.999559450975 -0.004751628257 0.001257638967 0.004716804323 0.999988084980 -3.713842169428 0.989672690553 -0.367239214269  | 1.000000000000 31.897686446952 15.364162535137 -35.088681560659 0.001257638967 0.004716804323 0.999988084980 4.481000000000 . 18
