30.233318450717 -31.952068648821 22.717088015862 -0.874592623121 0.702683539300 -0.126600372736 | 0.001404760587 0.000574316232 0.999998848404 -0.098506424019 0.236862375743 -1.030731549888
-12.587001540844 -28.031425324977 29.605786705347 -0.567507621967 0.570640805648 -0.496669499022 | 0.002740160950 0.001678739570 0.999994836662 -0.286679031114 0.461364497578 -1.076294371655
19.637958545002 -33.104467188779 -3.427548535512 -1.631591671446 0.959998137795 1.389770324232 | 0.002319253275 0.001173200211 0.999996622327 -0.199639813872 0.391367607011 -0.582004593887
-28.609990576883 -35.162501430819 -8.237999326424 -0.257348765189 0.192364432529 0.686300540156 | 0.001611034331 0.003697198930 0.999991867611 -0.626308185191 0.269287302794 -0.827795551520
-19.824066237435 35.482359205127 25.017118778051 -0.176274987884 0.485887275350 0.835702306701 | 0.000782918212 -0.004402366721 0.999990003053 0.742016990985 0.142700717106 -2.436747199350
-10.139099282893 -32.729231282475 23.522066111610 -0.212148702823 0.030384945260 1.626846442604 | 0.004918381514 0.001342432425 0.999987003615 -0.248530098306 0.825447867617 -4.433774227813
-9.865233673806 -30.975473256097 4.432720031064 -1.445285721592 0.624063253236 -0.238077842577 | 0.001852033961 0.001121895053 0.999997655658 -0.191849630616 0.311668283522 -1.215038815709
-4.914097326703 -33.447613915142 -27.316048532395 -0.144240605136 1.808965374551 -0.678622274120 | 0.000992873236 0.001170140378 0.999998822486 -0.198710958206 0.166714405738 -0.939027103090
17.950019771557 -30.809715672337 -34.536200816171 -0.532329596165 0.975695320640 -1.639625389805 | 0.000625124191 0.002518159940 0.999996634039 -0.427060881881 0.099889132901 -2.297263989070
31.902661788400 15.362326643529 -35.091500534736 -1.187089230135 0.437886357681 0.672437870452 | 0.000735693863 0.002760748651 0.999995918502 -0.468725746743 0.116432287330 -2.898878092028
5.168066447293 3.509457128764 7.199441757051 -0.433068825365 0.679000298355 -1.209009596455 | 0.001067892705 0.000303291403 0.999999383810 -0.052781956435 0.179744932551 -1.862205487185
26.833379304154 -33.023684423176 -3.202257047491 -1.729846817348 0.466594651934 1.047542955620 | 0.000068824523 0.000808441728 0.999999670843 -0.136705116810 0.010973776529 -0.842527730922
3.170101308185 3.513725501016 7.216604905121 -0.057824178368 1.399773373913 1.690134755514 | 0.000626225471 0.002528113784 0.999996608235 -0.428245184490 0.101815602226 -1.576707370237
-32.892039168097 29.939753769022 15.927105671149 -0.512819680242 0.370278238408 1.099714928904 | 0.001361237767 0.000677430393 0.999998844059 -0.122410016294 0.226244422880 -5.803521145693
-36.136878449329 11.284141982953 15.250629144073 -0.852321006658 1.166967915781 -0.762594184019 | 0.001637422688 0.003340014398 0.999993081551 -0.566720778491 0.272455638040 -1.298873773879
-22.955997951906 28.474179690430 36.084676489349 -0.162798812774 0.125519606543 0.090658650547 | 0.000474291833 0.002678378602 0.999996300661 -0.453301326502 0.076242694115 -1.460239591297
-25.679278845620 10.422820364663 1.479229600173 -1.284545886772 0.645982008741 1.117393482363 | 0.000100670632 -0.001190227187 0.999999286612 0.200603147268 0.022397430672 -4.547017256367
-31.118852020318 -1.027850920547 -36.321874751655 -0.285732694112 1.354933211217 0.027632301242 | 0.001540215923 0.003379297297 0.999993104019 -0.573589596188 0.254691273616 -1.609187339811
34.682059175548 -29.757873850777 20.135466079835 -0.470285174603 1.081461840833 0.825900052016 | 0.001466704201 0.002811929193 0.999994970904 -0.477914786824 0.242868521243 -1.796714492698
-20.208481012040 26.336026193422 5.100271450684 -1.047098488305 0.842203967710 -1.301903580979 | 0.004760734993 -0.001507668310 0.999987531092 0.238567459292 0.809560308596 -3.393296943576
-23.835115585174 -27.487935641248 22.150576980758 -1.533881079737 1.075023049538 0.076044258499 | 0.001723996840 -0.001830049991 0.999996839371 0.297024110743 0.304462137280 -7.218371082190
11.625823202480 -33.874360650268 12.402922583914 -0.357902236983 -1.312677777146 0.716708934760 | 0.003227584360 0.000047607763 0.999994790203 -0.008564052284 0.545515055472 -0.156619847775
-8.535751105182 -12.179427585539 -6.635175473735 -0.542858265740 -0.159517673721 0.919565324453 | 0.000354856940 0.000521540457 0.999999801036 -0.088515882991 0.059572918983 -0.856199337724
21.352562832016 22.310965756991 20.089943607762 -0.377428169177 -1.410310926501 -0.676499036914 | 0.001030717291 0.001508986386 0.999998330290 -0.255539443502 0.173548562298 -0.428104038953
-21.117089604347 19.734990956872 33.617016271146 -0.460504877044 2.052262285606 -1.437311453744 | 0.000655104215 0.003491620827 0.999993689691 -0.592141884593 0.100348534666 -2.994691765118
0.000200000000
